title,score,comments,link,comments_link,author,post_time,scraped_at,tags,lobsters_id,source_tag
Migrating Dillo from GitHub,33,8,https://dillo-browser.org/news/migration-from-github/,https://lobste.rs/s/mgwwtl,FedericoSchonborn,2025-11-30 08:09:19-06:00,2025-11-30 18:36:47.187750,['vcs'],mgwwtl,hot
Advent of Code 2025,28,6,https://adventofcode.com/2025,https://lobste.rs/s/gtzhvt,equeue,2025-11-30 08:59:23-06:00,2025-11-30 18:36:47.187758,['programming'],gtzhvt,hot
"Datacenters in space are a terrible, horrible, no good idea",71,22,https://taranis.ie/datacenters-in-space-are-a-terrible-horrible-no-good-idea/,https://lobste.rs/s/a34m1x,fanf,2025-11-29 20:31:37-06:00,2025-11-30 18:36:47.187760,"['hardware', 'science']",a34m1x,hot
Zigbook is Plagiarizing the Zigtools Playground,71,8,https://zigtools.org/blog/zigbook-plagiarizing-playground/,https://lobste.rs/s/y6hggq,alichraghi,2025-11-29 21:53:14-06:00,2025-11-30 18:36:47.187762,"['law', 'zig']",y6hggq,hot
GitHub to Codeberg: my experience,16,1,https://eldred.fr/blog/forge-migration/,https://lobste.rs/s/cni8ze,jefftriplett,2025-11-30 10:10:40-06:00,2025-11-30 18:36:47.187763,['vcs'],cni8ze,hot
Windows drive letters are not limited to A-Z,12,1,https://www.ryanliptak.com/blog/windows-drive-letters-are-not-limited-to-a-z/,https://lobste.rs/s/9fjia8,susam,2025-11-30 10:52:13-06:00,2025-11-30 18:36:47.187764,['windows'],9fjia8,hot
The HTTP Query Method,12,1,https://datatracker.ietf.org/doc/draft-ietf-httpbis-safe-method-w-body/,https://lobste.rs/s/qxxu6s,rfmoz,2025-11-30 08:22:16-06:00,2025-11-30 18:36:47.187766,['web'],qxxu6s,hot
Langjam Gamejam: Build a programming language then make a game with it,47,15,https://langjamgamejam.com/,https://lobste.rs/s/gtcrvu,azhenley,2025-11-29 08:22:18-06:00,2025-11-30 18:36:47.187767,"['games', 'plt']",gtcrvu,hot
From Zero to GitHub: Starting A New jj (Jujutsu) Repo,5,0,https://www.visualmode.dev/from-zero-to-github-starting-a-new-jj-jujutsu-repo,https://lobste.rs/s/p9s9yx,jbranchaud,2025-11-30 10:17:29-06:00,2025-11-30 18:36:47.187769,['vcs'],p9s9yx,hot
"Imgur Geo-Blocked the UK, So I Geo-Unblocked My Entire Network",23,15,https://blog.tymscar.com/posts/imgurukproxy/,https://lobste.rs/s/0u9ig2,Tymscar,2025-11-29 14:12:34-06:00,2025-11-30 18:36:47.187770,"['networking', 'nix', 'web']",0u9ig2,hot
Self-hosting my photos with Immich,78,25,https://michael.stapelberg.ch/posts/2025-11-29-self-hosting-photos-with-immich/,https://lobste.rs/s/cljhyb,stapelberg,2025-11-29 01:26:00-06:00,2025-11-30 18:36:47.187771,['linux'],cljhyb,hot
Landlock-ing Linux,28,5,https://blog.prizrak.me/post/landlock/,https://lobste.rs/s/22oqr9,fanf,2025-11-29 19:38:09-06:00,2025-11-30 18:36:47.187773,"['linux', 'security']",22oqr9,hot
