title,score,comments,link,comments_link,author,post_time,scraped_at,tags,lobsters_id,source_tag,platform
How good engineers write bad code at big companies,112,61,https://www.seangoedecke.com/bad-code-at-big-companies/,https://lobste.rs/s/jxppk7,veverkap,2025-11-28 16:02:57-06:00,2025-11-30 14:33:00,['practices'],jxppk7,hot,lobsters
System 7 natively boots on the Mac mini G4,21,3,https://macos9lives.com/smforum/index.php?topic=7711.0,https://lobste.rs/s/uxqquq,jjuran,2025-11-29 10:35:50-06:00,2025-11-30 14:33:00,"['mac', 'retrocomputing']",uxqquq,hot,lobsters
Airbus issues major A320 recall due to software issue,22,12,https://www.reuters.com/business/aerospace-defense/airbus-issues-major-a320-recall-after-flight-control-incident-2025-11-28/,https://lobste.rs/s/ehcqlu,intarga,2025-11-29 06:53:02-06:00,2025-11-30 14:33:00,['programming'],ehcqlu,hot,lobsters
The HTTP Query Method,2,0,https://datatracker.ietf.org/doc/draft-ietf-httpbis-safe-method-w-body/,https://lobste.rs/s/qxxu6s,rfmoz,2025-11-30 08:22:16-06:00,2025-11-30 14:33:00,['web'],qxxu6s,hot,lobsters
Setting a wallpaper with less than 250 Kb,13,6,https://www.lgfae.com/posts/2025-11-21-SettingAWallpaperWithLessThan250KB.html,https://lobste.rs/s/ycwei1,blu,2025-11-29 10:41:56-06:00,2025-11-30 14:33:00,"['performance', 'rust']",ycwei1,hot,lobsters
acmeleaf: Simple declarative DNS-01 ACME client,15,14,https://codeberg.org/lindenii/acmeleaf,https://lobste.rs/s/7v8oy2,runxiyu,2025-11-29 01:20:52-06:00,2025-11-30 14:33:00,"['devops', 'show']",7v8oy2,hot,lobsters
elf: Python CLI and library for Advent of Code with input caching and safe submissions,4,1,https://github.com/cak/elf,https://lobste.rs/s/yaadqy,cak,2025-11-29 18:16:01-06:00,2025-11-30 14:33:00,['python'],yaadqy,hot,lobsters
Antifragile Programming and Why AI Won’t Steal Your Job,1,0,https://lemire.me/blog/2025/11/29/antifragile-programming-and-why-ai-wont-steal-your-job/,https://lobste.rs/s/m536lr,cjoly,2025-11-30 07:06:37-06:00,2025-11-30 14:33:00,['vibecoding'],m536lr,hot,lobsters
An update on the farphone's battery,48,22,https://far.computer/battery-update/,https://lobste.rs/s/l77zlu,louismerlin,2025-11-28 07:57:54-06:00,2025-11-30 14:33:00,['linux'],l77zlu,hot,lobsters
Eraser: A Dynamic Data Race Detector for Multithreaded Programs (1997),2,2,https://web.stanford.edu/class/archive/cs/cs240/cs240.1054/readings/Tocs97.pdf,https://lobste.rs/s/bx1zij,calvin,2025-11-29 17:05:52-06:00,2025-11-30 14:33:00,"['pdf', 'programming']",bx1zij,hot,lobsters
The Computer Wants to Lose Your Data: Bonus Bits,3,0,https://blog.sinjakli.co.uk/2025/11/29/the-computer-wants-to-lose-your-data-bonus-bits/,https://lobste.rs/s/psril1,fanf,2025-11-29 16:10:10-06:00,2025-11-30 14:33:00,['databases'],psril1,hot,lobsters
The CRDT Dictionary: A Field Guide to Conflict-Free Replicated Data Types,73,1,https://www.iankduncan.com/engineering/2025-11-27-crdt-dictionary,https://lobste.rs/s/60v35g,iand675,2025-11-28 04:46:09-06:00,2025-11-30 14:33:00,"['databases', 'distributed', 'scaling']",60v35g,hot,lobsters
The Origins of Scala (2009),3,0,https://www.artima.com/articles/the-origins-of-scala,https://lobste.rs/s/dtylzc,jez,2025-11-29 13:57:57-06:00,2025-11-30 14:33:00,"['historical', 'plt', 'scala']",dtylzc,hot,lobsters
Advent of Code 2025,1,0,https://adventofcode.com/2025,https://lobste.rs/s/gtzhvt,equeue,2025-11-30 08:59:23-06:00,2025-11-30 15:02:30,['programming'],gtzhvt,hot,lobsters
